date,prompt
"13-06-2026","scan controller package and build a postman collection, save the file under `postman/lyqn-iam.postman_collection.json`"
"13-06-2026","update README.md with new endpoint information `/userinfo`. add this prompt into `prompt-documentation/prompt.csv` file
"13-06-2026","add unit testing for class config/AppConfig un class AppConfigTest. Use setUp method if required, use mockito mocks and assertions with harmcrest. for all values use Java constants and do not hardcode any test value on test methods"
"13-06-2026","add unit testing for class config/FilterConfig un class FilterConfigTest. Use setUp method if required, use mockito mocks and assertions with harmcrest. for all values use Java constants and do not hardcode any test value on test methods"
"13-06-2026","create unit test cases for classes in controller.request package. Follow the same pattern and structure that test config package"
"13-06-2026","add unit test cases for AuthControllerImpl in class AuthControllerImplTest"
"13-06-2026","add junit test classes for filter package, follow project pattern for proper template"
"13-06-2026","add junit test case for UserEntity in package model"
"13-06-2026","add junit test case for RefreshTokenGenerator in package security"
"13-06-2026","add junit tests for classes in service package, follow project pattern for proper testing"
"13-06-2026"," getting no bean of type TestRestTemplateFound in class IamApplicationTests"
"13-06-2026","what is the cause of this error, happens when calling `updatePasswordEndpointReturnsOkAndReissuesTokensWhenAccessTokenIsValid` stacktrace:  ```org.springframework.http.converter.HttpMessageConversionException: Type definition error: [simple type, class com.fasterxml.jackson.databind.JsonNode]

    at org.springframework.http.converter.AbstractJacksonHttpMessageConverter.readJavaType(AbstractJacksonHttpMessageConverter.java:360)
    at org.springframework.http.converter.AbstractJacksonHttpMessageConverter.read(AbstractJacksonHttpMessageConverter.java:319)
    at org.springframework.web.client.HttpMessageConverterExtractor.extractData(HttpMessageConverterExtractor.java:112)
    at org.springframework.web.client.RestTemplate$ResponseEntityResponseExtractor.extractData(RestTemplate.java:1035)
    at org.springframework.web.client.RestTemplate$ResponseEntityResponseExtractor.extractData(RestTemplate.java:1019)
    at org.springframework.web.client.RestTemplate.doExecute(RestTemplate.java:757)
    at org.springframework.web.client.RestTemplate.execute(RestTemplate.java:677)
    at org.springframework.web.client.RestTemplate.exchange(RestTemplate.java:561)```"
"13-06-2026","is my jacoco and surefire plugin correct for maven coverage in CI?"
"17-06-2026","read LogAspect.java. I noticed that if password or newPassword is sent as part of an object. the logging of such field happens anyways. Please mask these fields if they are part of an object parameter"
"17-06-2026","getting error when executing `mvn -e clean install`. error `NoClassDefFound Could not initialize class com.lynq.iam.IamApplicationTests`. If you need to execute test run jdk21 command to set proper jdk"
"23-06-2026","read LogAspect.java I need to mask refreshToken and accessToken as well"
"23-06-2026","read LogAspect.java I need to mask refreshToken and accessToken as well"
"25-06-2026","modify log Aspect to log the real class and not the classlog in log4j"
